,title,publishedDate,thumbnail,views,likes,comments
36,Hindi-Introduction And Roadmap To Learn Natural Language Processing(NLP)|Krish Naik,2022-06-22T08:27:35Z,https://i.ytimg.com/vi/15JaZ6WoTS8/default.jpg,1602,88,16
37,Part 4-Hindi- Decision Tree And Pre Prunning Practical Implementation|Krish Naik,2022-06-21T10:20:30Z,https://i.ytimg.com/vi/mXcPVtbB9pU/default.jpg,1537,79,9
38,Part 3- Decision Tree And Post Prunning Practical Implementation In Hindi | Krish Naik,2022-06-18T13:20:50Z,https://i.ytimg.com/vi/OMFQvcBx-Fc/default.jpg,2159,77,11
39,Part 2-Post Prunning And Pre Prunning In Decision Tree Classifier In Hindi| Krish Naik,2022-06-17T09:29:15Z,https://i.ytimg.com/vi/gcF4wppbDuA/default.jpg,1807,90,9
40,Part 1-Decision Tree Classifier Indepth Intuition In Hindi| Krish Naik,2022-06-13T12:26:06Z,https://i.ytimg.com/vi/ynTCUngbFHA/default.jpg,3293,170,17
41,Github Hackathon Glimpse @iNeuron Intelligence,2022-06-12T13:28:55Z,https://i.ytimg.com/vi/HTmAyE6IU8Y/default.jpg,1644,52,2
42,Live NLP Classes For Machine Learning And Deep Learning,2022-06-11T08:59:49Z,https://i.ytimg.com/vi/LdhJwkVO_SI/default.jpg,1662,106,12
43,Track Your Data Science Learning Using This Sheet,2022-06-09T10:08:00Z,https://i.ytimg.com/vi/8uO0bHl-Ikw/default.jpg,7856,464,47
44,Roadmap To Become Data Analyst in 2022| Krish Naik Hindi,2022-06-06T07:56:08Z,https://i.ytimg.com/vi/sJ04brZxHg4/default.jpg,20963,1064,76
45,First Live Q&A- Data Science In Hindi- Ask Anything,2022-06-06T01:54:02Z,https://i.ytimg.com/vi/DSHoOuouyoQ/default.jpg,2151,197,10
46,Roadmap Of Data Science In 2022 in Hindi|Krish Naik,2022-06-03T14:09:28Z,https://i.ytimg.com/vi/b_3FgFPjD4c/default.jpg,48666,1414,52
47,Support Vector Regression Indepth Maths Intuition In Hindi,2022-06-02T09:00:52Z,https://i.ytimg.com/vi/SBDO31GjNjg/default.jpg,1570,81,4
48,Big Data Engineering RoadMap And FAANG Interview Process|E-Learning Bridge|Hindi,2022-05-31T13:16:38Z,https://i.ytimg.com/vi/LyjnV9dFuxE/default.jpg,2455,131,12
49,Logistic Regression Practical Implementation In Python|Krish Naik|Hindi,2022-05-30T12:10:33Z,https://i.ytimg.com/vi/n40hS9tQmcY/default.jpg,3938,184,16
